author_name,paper_title
Rodrigo Benenson,The Cityscapes Dataset for Semantic Urban Scene Understanding
Rubao Lee,RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems
Rudra P. K. Poudel,Fast-SCNN: Fast Semantic Segmentation Network
Ryan P. Adams,Practical Bayesian Optimization of Machine Learning Algorithms
S. Auer,Semantic Data Integration for Knowledge Graph Construction at Query Time
S. Biffl,Evaluation of semantic data storages for integrating heterogenous disciplines in automation systems engineering
S. Bocconi,A Platform for Urban Analytics and Semantic Data Integration in City Planning
S. Drucker,AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration
S. Fidler,VSE++: Improving Visual-Semantic Embeddings with Hard Negatives
S. Gong,Semantic Autoencoder for Zero-Shot Learning
S. Jha,Practical Black-Box Attacks against Machine Learning
S. Lang,Semantic Earth Observation Data Cubes
S. Lefèvre,Semantic Segmentation of Earth Observation Data Using Multimodal and Multi-scale Deep Networks
S. Pearson,Machine Learning in Agriculture: A Review
S. Rizzi,Modern Software Engineering Methodologies Meet Data Warehouse Design: 4WD
S. Roth,The Cityscapes Dataset for Semantic Urban Scene Understanding
S. Roth,A Database and Evaluation Methodology for Optical Flow
S. Savarese,3D Semantic Parsing of Large-Scale Indoor Spaces
Sam Thomson,Constrained Language Models Yield Few-Shot Semantic Parsers
Samy Bengio,Adversarial Machine Learning at Scale
Satyavrat Wagle,Semantic data extraction over MQTT for IoTcentric wireless sensor networks
Sean Kross,"Practitioners Teaching Data Science in Industry and Academia: Expectations, Workflows, and Challenges"
Sean L. Bowman,Probabilistic data association for semantic SLAM
Sebastian Ramos,The Cityscapes Dataset for Semantic Urban Scene Understanding
Selma Khouri,Semantic Data Warehouse Design: From ETL to Deployment à la Carte
Seokju Lee,Unsupervised Intra-Domain Adaptation for Semantic Segmentation Through Self-Supervision
Shiji Song,Implicit Semantic Data Augmentation for Deep Networks
Shivakumar Vaithyanathan,Thumbs up? Sentiment Classification using Machine Learning Techniques
Shiyong Wang,Knowledge Reasoning with Semantic Data for Real-Time Data Processing in Smart Factory
Shruti Jadon,A survey of loss functions for semantic segmentation
Shubha Bansal,Alliance Rules for Data Warehouse Cleansing
Simon Baker,A Database and Evaluation Methodology for Optical Flow
Simon Hecker,Model Adaptation with Synthetic and Real Data for Semantic Dense Foggy Scene Understanding
Soohyung Kim,Tajo: A distributed data warehouse system on large clusters
Stefanie N. Lindstaedt,SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle
Stefano Soatto,FDA: Fourier Domain Adaptation for Semantic Segmentation
Steffen Staab,The Essence of Functional Programming on Semantic Data
Stephan Liwicki,Fast-SCNN: Fast Semantic Segmentation Network
Subhro Roy,Constrained Language Models Yield Few-Shot Semantic Parsers
Sumon Biswas,"The Art and Practice of Data Science Pipelines: A Comprehensive Study of Data Science Pipelines In Theory, In-The-Small, and In-The-Large"
Suresh Anthony,Hive - a petabyte scale data warehouse using Hadoop
T. Drummond,Machine Learning for High-Speed Corner Detection
T. Erickson,"How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation"
T. Poggio,HMDB: A large video database for human motion recognition
T. Xiang,Semantic Autoencoder for Zero-Shot Learning
Taekyung Kim,Self-Ensembling With GAN-Based Data Augmentation for Domain Adaptation in Semantic Segmentation
Thilini Ariyachandra,Key organizational factors in data warehouse architecture selection
Thomas Serre,HMDB: A large video database for human motion recognition
Tianfei Zhou,Exploring Cross-Image Pixel Contrast for Semantic Segmentation
Tim Kraska,Sherlock: A Deep Learning Approach to Semantic Data Type Detection
Timo Rehfeld,The Cityscapes Dataset for Semantic Urban Scene Understanding
Tuan-Hung Vu,ADVENT: Adversarial Entropy Minimization for Domain Adaptation in Semantic Segmentation
Uwe Franke,The Cityscapes Dataset for Semantic Urban Scene Understanding
Vitaly Shmatikov,Membership Inference Attacks Against Machine Learning Models
W. Wong,Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting
W. Woo,Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting
Weihua Hu,Open Graph Benchmark: Datasets for Machine Learning on Graphs
Wen Li,Learning Semantic Segmentation From Synthetic Data: A Geometrically Guided Input-Output Adaptation Approach
Wenguan Wang,Exploring Cross-Image Pixel Contrast for Semantic Segmentation
X. Zhang,Discovering Semantic Data of Interest from Un-mappable Memory with Confidence
Xavier Perrotton,Sparse and Dense Data with CNNs: Depth Completion and Semantic Segmentation
Xi Peng,Semantic Graph Convolutional Networks for 3D Human Pose Regression
Xiaodong He,Learning deep structured semantic models for web search using clickthrough data
Xiaodong Zhang,RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems
Xiaokang Chen,Semi-Supervised Semantic Segmentation with Cross Pseudo Supervision
Xiaoran Chen,Learning Semantic Segmentation From Synthetic Data: A Geometrically Guided Input-Output Adaptation Approach
Xingjian Shi,Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting
